experiment,epoch,batch_size,num_layers,dropout,hidden_size,dropout_ff,weight_decay,lr,embed_dim,activation,datasize,score
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/645572388,1,103,1,0.0761630269732275,360,0.29021996695044416,1.5942301086151003e-07,2.3537665812209008e-05,300,relu,4000000,0.9242378810594702
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/309170390,0,135,1,0.020500914872363954,262,0.27646566633577047,2.6936538096716233e-09,0.0002942282923159115,300,sigmoid,4000000,0.9238380809595202
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/453885973,0,103,4,0.04294051991375872,541,0.33652204971924804,2.1530412322130366e-05,0.0006980282693472504,300,tanh,4000000,0.9233383308345827
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/734724155,1,65,2,0.09786095525300331,465,0.5123661814477319,7.422877427492188e-08,3.861240997066019e-05,100,relu,4000000,0.9233383308345827
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/964135711,0,81,4,0.015610060073525878,292,0.39592513146010644,3.263884579537111e-07,0.0014416209526234313,100,tanh,4000000,0.9228385807096452
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/339996539,1,85,1,0.06004142836459832,889,0.4913877862346185,9.365055598245803e-06,4.587151430336705e-05,100,relu,4000000,0.9223388305847077
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/310236081,1,88,2,0.005261811229288083,305,0.3027795221924522,9.440271949690844e-08,5.4081949073701545e-05,100,sigmoid,4000000,0.9223388305847077
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/269643997,1,131,2,0.004154254216388664,485,0.6935171216125461,6.291704036564616e-06,0.0017946288033217953,300,sigmoid,4000000,0.9221389305347326
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/962526520,0,91,3,0.05726997052526718,764,0.657926169860275,1.5588944249755369e-06,2.1824116021318393e-05,300,relu,4000000,0.9220389805097451
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/374519013,0,148,4,0.038195767812643326,253,0.4578699525719503,2.8806469819337555e-07,7.605724726513608e-05,100,tanh,4000000,0.9219390304847577
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/748298212,0,23,1,0.03234493362009166,837,0.5634017540938525,1.0881159242377084e-08,3.3268553814180875e-06,100,sigmoid,500000,0.9214392803598201
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/833329253,1,106,1,0.08175557715573915,362,0.3208946367231481,4.909034066667035e-05,0.00019672051535268652,100,sigmoid,4000000,0.9214392803598201
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/734724155,0,65,2,0.09786095525300331,465,0.5123661814477319,7.422877427492188e-08,3.861240997066019e-05,100,relu,4000000,0.9209395302348825
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/155089555,0,85,5,0.035759008304448496,612,0.3914901613793804,1.8882499040548323e-09,2.5015262089305774e-05,300,tanh,4000000,0.92063968015992
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/729676104,0,149,1,0.08828740347472931,507,0.6263206903091116,9.724633544534809e-05,0.00020323763876113737,100,relu,4000000,0.920439780109945
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/734062450,0,119,4,0.0920451804782633,245,0.6753511793673289,1.055371825416049e-08,0.0035807017350155583,100,tanh,4000000,0.9203398300849576
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/813846938,1,96,1,0.08748748554493412,589,0.49051315144734364,4.0317653520473496e-05,6.403592669332323e-05,300,sigmoid,4000000,0.92023988005997
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/645244779,0,102,5,0.08726756294220585,803,0.38198459026027975,7.67725699344357e-08,0.00012417126313877278,100,sigmoid,4000000,0.920039980009995
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/849370995,0,51,1,0.02887306183883095,539,0.5760496635522516,7.476678156176552e-10,4.552073858587655e-05,300,sigmoid,4000000,0.9194402798600699
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/813846938,0,96,1,0.08748748554493412,589,0.49051315144734364,4.0317653520473496e-05,6.403592669332323e-05,300,sigmoid,4000000,0.9194402798600699
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/962451510,0,50,5,0.005062197224690002,736,0.3551997269693471,1.2828659735151257e-09,3.579428435848697e-05,300,sigmoid,4000000,0.919240379810095
